content,followers,genre,genres,label,popularity,track
"**[3 Doors Down](http://www.3doorsdown.com/)** is a [post-grunge](http://www.last.fm/tag/post-grunge) influenced [alternative rock](http://www.last.fm/tag/alternative%20rock) group from Escatawpa, Mississippi, United States that formed in 1996. Consisting of Brad Arnold (vocals), Chet Roberts (guitar, a replacement for Matt Roberts), Todd Harrell (bass), Chris Henderson (guitar), and Greg Upchurch (drums), the band is known for several successful [rock](http://www.last.fm/tag/rock) singles such as “[Here Without You](http://www.last.fm/music/3+Doors+Down/_/Here+Without+You)” and “[Kryptonite](http://www.last.fm/music/3+Doors+Down/_/Kryptonite)”. The group signed to Universal Records in 2000.      Universal then released their first album, ‘_[The Better Life](http://www.last.fm/music/3+Doors+Down/The+Better+Life)_’, and they garnered a big fan response. They received international fame with their first single, “[Kryptonite](http://www.last.fm/music/3+Doors+Down/_/Kryptonite)”, in particular. The album went on to sell over 6 million copies.      In 2002, ‘_[Away from the Sun](http://www.last.fm/music/3+Doors+Down/Away+from+the+Sun)_’ was released with the single “[When I’m Gone](http://www.last.fm/music/3+Doors+Down/_/When+I%27m+Gone)”. The ballad “[Here Without You](http://www.last.fm/music/3+Doors+Down/_/Here+Without+You)” became another multi-format success, doing especially well in the adult contemporary space, while the singles “[The Road I’m On](http://www.last.fm/music/3+Doors+Down/_/The+Road+I%27m+On)” and “[Away from the Sun](http://www.last.fm/music/3+Doors+Down/_/Away+from+the+Sun)” were minor hits. The album went on to sell over 3 million copies.      3 Doors Down released their third studio album, [Seventeen Days](http://www.last.fm/music/3+Doors+Down/Seventeen+Days), in 2005, and it debuted at #1 on the Billboard Music Chart. The album achieved platinum status in less than a month. Its first single, “[Let Me Go](http://www.last.fm/music/3+Doors+Down/_/Let+Me+Go)”, received much airplay, and was followed by a second song called “[Behind Those Eyes](http://www.last.fm/music/3+Doors+Down/_/Behind+Those+Eyes).”      In 2007, they made a music video with the upcoming track “Citizen Soldiers” for the National Guard.      In May of 2008 3 Doors Down released their 4th full length studio album the self titled “3 Doors Down”. The first single is [It’s Not My Time](http://www.last.fm/music/3+Doors+Down/_/It%27s+Not+My+Time). They also launched a world tour in March in support.      Early years (1996-2000)      3 Doors Down was formed by drummer vocalist Brad Arnold, guitarist Matt Roberts and bassist Todd Harrell. The three were friends who had grown up together in Escatawpa, and who all shared a common interest in rock music. The band began playing locally around the city, playing a mix of both cover songs and original songs that would eventually be recorded on their first release",2342378,rock,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",3 doors down,73,"['Kryptonite', 'Here Without You', ""When I'm Gone"", ""It's Not My Time"", 'Be Like That', 'Loser', 'Let Me Go', 'Away From The Sun', 'Citizen/Soldier', 'Kryptonite']"
"Big Bill Broonzy (June 26, 1893 – August 15, 1958) was a prolific American blues singer, songwriter and guitarist. His career began in the 1920s when he played country blues to mostly African-American audiences. Through the 1930s and 1940s he successfully navigated a transition in style to a more urban blues sound popular with working class African-American audiences. In the 1950s a return to his traditional folk-blues roots made him one of the leading figures of the emerging American folk music revival and an international star. His long and varied career marks him as one of the key figures in the development of blues music in the 20th century.   Broonzy copyrighted more than 300 songs during his lifetime, including both adaptations of traditional folk songs and original blues songs. As a blues composer, he was unique in that his compositions reflected the many vantage points of his rural-to-urban experiences.      Born Lee Conley Bradley, “Big Bill” was one of Frank Broonzy (Bradley) and Mittie Belcher’s 17 children. His birth site and date are disputed. While he claimed birth in Scott County, Mississippi, an entire body of emerging research compiled by blues historian Robert Reisman suggests that Broonzy was actually born in Jefferson County, Arkansas. Broonzy claimed he was born in 1893 and many sources report that year, but after his death, family records suggested that the year was actually 1903. Soon after his birth the family moved to Pine Bluff, Arkansas, where Bill spent his youth. He began playing music at an early age. At the age of 10 he made himself a fiddle from a cigar box and learned how to play spirituals and folk songs from his uncle, Jerry Belcher. He and a friend named Louis Carter, who played a homemade guitar, began performing at social and church functions. These early performances included playing at “two-stages”: picnics where whites danced on one side of the stage and blacks on the other.   On the understanding that he was born in 1898 rather than earlier or later, sources suggest that in 1915, 17-year-old Broonzy was married and working as a sharecropper. He had decided to give up the fiddle and become a preacher. There is a story that he was offered $50 and a new violin if he would play four days at a local venue. Before he could respond to the offer, his wife took the money and spent it, so he had to play. In 1916 his crop and stock were wiped out by drought. Broonzy went to work locally until he was drafted into the Army in 1917. Broonzy served two years in Europe during the first world war. Then after his discharge from the Army in 1919, Broonzy returned to Pine Bluff, Arkansas where he is reported to have been called a racial epithet and told by a white man he knew before the war that he needed to “hurry up and get his soldier uniform off and put on some overalls.” He immediately left Pine Bluff and moved to the Little Rock area but a year later in 1920 moved north to Chicago in search of opportunity",27943,blues,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'traditional blues', 'traditional folk']",big bill broonzy,38,"['Glory of Love', 'Mean Old World (Tk. 1)', 'This Train (Bound For Glory)', 'I Feel So Good', 'Get Back', 'I Got the Blues', 'When Did You Leave Heaven?', 'Get Back', 'Southbound Train', 'Hey, Hey Baby']"
"John Lee Hooker (Coahoma County, Mississippi, August 22, 1917 – Los Altos, California, June 21, 2001) was a highly influential American blues singer, guitarist and songwriter.      John Lee Hooker could be said to embody his own unique genre of the [blues](http://www.last.fm/tag/blues), often incorporating the [boogie- woogie](http://www.last.fm/tag/boogie-woogie) piano style and a driving rhythm into his masterful and idiosyncratic blues guitar and singing. His best known songs include “[Boogie Chillen](http://www.last.fm/music/John+Lee+Hooker/_/Boogie+Chillen)” (1948) and “[Boom Boom](http://www.last.fm/music/John+Lee+Hooker/_/Boom+Boom)” (1962).      There is some debate as to the year of John Lee Hooker’s birth, 1915, 1917, 1920, and 1923 have all been cited, 1917 (the date on his grave marker in Oakland, California) is the one most commonly cited although Hooker himself claimed, at times, 1920.      Hooker was the youngest of the eleven children of William Hooker (1871–1923), a sharecropper and a Baptist preacher, and Minnie Ramsey (1875–?).   Hooker and his siblings were home-schooled. They were permitted to listen only to religious songs, with his earliest musical exposure being the spirituals sung in church.   In 1921, his parents separated. The next year, his mother married William Moore, a blues singer who provided John’s first introduction to the guitar (and whom John would later credit for his distinctive playing style). The year after that (1923), John’s natural father died; and at age 15, John ran away from home, never to see his mother and stepfather again.      He was a cousin of [Earl Hooker](http://www.last.fm/music/Earl+Hooker),      Throughout the 1930s, Hooker lived in Memphis where he worked on Beale Street and occasionally performed at house parties. He worked in factories in various cities during World War II, drifting until he found himself in Detroit in 1948 working at Ford Motor Company. He felt right at home near the blues venues and saloons on Hastings Street, the heart of black entertainment on Detroit’s east side. In a city noted for its piano players, guitar players were scarce. Performing in Detroit clubs, his popularity grew quickly, and seeking a louder instrument than his crude acoustic guitar, he bought his first electric guitar.      Though he stuttered slightly in his normal speech, he performed in a half- spoken style that became his trademark. Rhythmically, his music was free, a property common with early acoustic [delta blues](http://www.last.fm/tag/delta%20blues) musicians. His vocal phrasing was less closely tied to specific bars than most [blues](http://www.last.fm/tag/blues) singers’. This casual, rambling style had been gradually diminishing with the onset of [electric blues](http://www.last.fm/tag/electric%20blues) bands from Chicago but, even when not playing solo, Hooker retained it in his sound.      Hooker’s recording career began in 1948 with the hit single, “[Boogie Chillen](http://www.last",445096,blues,"['blues', 'blues-rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'modern blues', 'soul', 'traditional blues']",john lee hooker,57,"['Boom Boom', 'One Bourbon, One Scotch, One Beer', ""I'm In The Mood - Single Version"", 'Pouring Down Rain', 'It Serves You Right To Suffer - The Avener Rework', 'Chill Out (Things Gonna Change)', 'The Healer', 'Boogie Chillen', 'Boogie Chillen', 'I Need Some Money']"
"**Plastikman** is the main recording identity for Windsor, Ontario, Canada’s [Richie Hawtin](http://www.last.fm/music/Richie+Hawtin) (aka Plastikman, [F.U.S.E.](http://www.last.fm/music/F.U.S.E.), [Circuit Breaker](http://www.last.fm/music/Circuit+Breaker), [From Within](http://www.last.fm/music/From+Within) to name a few). Since his debut as states of mind and fuse in 1990 to the launch of Plastikman in 1992, his sound has developed through early connotations of acidic techno and extreme levels of energy (1993’s ‘Spastik’) to sonic experiments in futuristic-rhythms and off-world ambience (1998’s ‘[Consumed](http://www.last.fm/music/Plastikman/Consumed)’ LP). More minimal approaches were evident through his year long 12-record project ‘Concept 1’ from 1996. His recording attention is matched head-on by his groundbreaking DJ performances, which incorporate turntables, effects processors and additional instruments (the 909 Drum Machine and Roland SH-101 Synthesizer). His world-renown enhanced DJ set-up of decks, efx & 909 has kept pushing the boundaries of what a DJ can do by increasing the potential of creativity through once again, technology.   ",170461,world,"['acid house', 'canadian electronic', 'detroit techno', 'microhouse', 'minimal techno', 'tech house', 'techno']",plastikman,41,"['Purrkusiv', 'Pakard - Original Mix', 'EXpand - Tale Of Us Remix', 'Spastik', 'Consumed - Original Mix', 'Contain - Original Mix', 'Spastik - Dubfire Rework', 'Goo - Paco Osuna Remix', 'Psyk - Original Mix', 'Disconnect - Original Mix']"
"André Romelle Young (born February 18, 1965 in Los Angeles, California), better known by his stage name Dr. Dre, is an American record producer, rapper, actor and record executive. He is the founder and current CEO of Aftermath Entertainment and a former co-owner and artist of Death Row Records, also having produced albums for and overseeing the careers of many rappers signed to those record labels. As a producer he is credited as a key figure in the popularization of West Coast G-funk, a style of rap music characterized as synthesizer-based with slow, bass heavy beats.   Dr. Dre began his career in music as a member of the World Class Wreckin’ Cru and he later found fame with the influential gangsta rap group N.W.A, which popularized the use of explicit lyrics in rap to detail the violence of street life. His 1992 solo debut The Chronic, released under Death Row Records, led him to become one of the best-selling American performing artists of 1993. In 1996 he left Death Row to found his own label Aftermath Entertainment, producing a compilation album, Dr. Dre Presents the Aftermath, in 1997 and releasing a solo album titled 2001 in 1999.      During the 2000s he focused his career on production for other artists, while occasionally contributing vocals in other artists’ songs. Rolling Stone named him among the highest-paid performers of 2001 and 2004. Dr. Dre also had acting roles in the 2001 films The Wash and Training Day. In 2011, his final solo studio album, Detox, is set to be released following much delay and speculation.      Early life      The first child of Verna and Theodore Young, Dr. Dre was born as André Romelle Young on February 18, 1965. His mother was only 16 years old at the time of his birth, after being impregnated by teenage boyfriend Theodore, whom she later married. Young’s middle name, “Romelle”, came from Theodore Young’s unsigned, amateur R&B singing group The Romells. In 1968 his mother divorced Theodore Young for another man, Curtis Crayon, and had other children with him, including two sons named Jerome and Tyree (both of whom are now deceased)[8][9] and daughter Shameka.[10] As a young child, Young was fascinated with vinyl records spinning on phonographs; his family’s record collection included many popular R&B albums of the 1960s and 1970s, from such singers as Diana Ross, James Brown, and Aretha Franklin. According to an interview with the Los Angeles Times, his mother Verna found R&B music to be a relief from the two jobs she had to work daily.[11] Despite economic troubles, she continued to encourage Young not to give up in life. During Verna’s second marriage, Young and his step-brother Tyree were raised primarily by their grandmother and Curtis Crayon, as their mother spent much time in search of work.[12]      In 1976 Young began attending Vanguard Junior High School and had a new sister named Shameka. However, due to gang violence around Vanguard, he transferred to nearby Roosevelt Junior High School",4462240,world,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",dr. dre,80,"['Forgot About Dre', 'Still D.R.E.', 'No Diggity', 'The Next Episode', 'California Love - Original Version', 'I Need A Doctor', ""What's The Difference"", 'Xxplosive', ""Keep Their Heads Ringin'"", 'California Love - Original Version']"
"Harry Lillis “Bing” Crosby (born May 2, 1903 in Tacoma, Washington; died October 14, 1977 in Madrid, Spain) was an American Grammy Award winning singer and Academy Award winning actor who was one of the first true multimedia stars, from 1934 to 1954 Crosby held a nearly unrivaled command of record sales, radio ratings and motion picture grosses. Widely recognized as one of the most popular musical acts in history, Crosby is also credited as being the major inspiration for most of the male singers of the era that followed him, including [Perry Como](http://www.last.fm/music/Perry+Como), [Frank Sinatra](http://www.last.fm/music/Frank+Sinatra), and [Dean Martin](http://www.last.fm/music/Dean+Martin). In 1962, Crosby was the first person to be recognized with the Grammy Global Achievement Award and is one of the few people to have three stars on the Hollywood Walk of Fame. He won an Academy Award for Best Actor for his role as Father Chuck O’Malley in the 1944 motion picture Going My Way.      Bing Crosby’s influence on popular culture and popular music is considerable, as from 1934 to 1954 he held a nearly unrivaled command of record sales, radio ratings and motion picture grosses. He is usually considered to be a member of popular music’s “holy trinity” of ultra-icons, alongside [Elvis Presley](http://www.last.fm/music/Elvis+Presley) and [The Beatles](http://www.last.fm/music/The+Beatles).      Bing Crosby popularized singing with conversational ease, or ‘crooning’. His musical interpretations amalgamated rhythm and romance with scat singing, whistling, rhythmic improvisation and melodic paraphrasing as elements of a hotter, sexier sound than had been conceived before.      In 1926, while singing at Los Angeles Metropolitan Theater, Crosby and his vocal duo partner Al Rinker caught the eye of Paul Whiteman, arguably the most famous bandleader at the time. Hired for $150 a week, they made their debut on December 6, 1926 at the Tivoli Theatre (Chicago). Their first recording, “I’ve Got The Girl,” with Don Clark’s Orchestra, was issued by Columbia and did them no vocal favors as it sounded as if they were singing in a key much too high for them. It was later revealed that the 78 rpm was recorded at a speed slower than it should have been, which increased the pitch when played at 78 rpm.      Crosby is also credited as being the major inspiration for most of the male singers that followed him, including the likes of [Frank Sinatra](http://www.last.fm/music/Frank+Sinatra), [Perry Como](http://www.last.fm/music/Perry+Como) and [Dean Martin](http://www.last.fm/music/Dean+Martin). [Tony Bennett](http://www.last.fm/music/Tony+Bennett) summed up Crosby’s impact, stating, “Bing created a culture. He contributed more to popular music than any other person - he moulded popular music. Every singer in the business has taken something from Crosby. Every male singer has a Bing Crosby idiosyncracy.”      Crosby’s recording of [White Christmas](http://www.last",245734,,"['adult standards', 'big band', 'easy listening', 'lounge', 'vocal jazz']",bing crosby,58,"['White Christmas', ""Pistol Packin' Mama - Single Version"", ""It's Been A Long, Long Time - Single Version"", 'Ac-Cent-Tchu-Ate The Positive - Single Version', 'Winter Wonderland - Remastered 2006', 'Swinging On A Star - Single Version', 'Do You Hear What I Hear? - Remastered 2006', 'Mele Kalikimaka (Merry Christmas)', ""Something's Gotta Give"", ""It's Beginning To Look Like Christmas""]"
"Thomas Earl Petty (born 20 October 1950 in Gainesville, Florida) is an American musician, singer, composer and songwriter.   After working with his early bands [The Sundowners](http://www.last.fm/music/The+Sundowners), [The Epics](http://www.last.fm/music/The+Epics), and [Mudcrutch](http://www.last.fm/music/Mudcrutch) (which also included future Heartbreakers members [Mike Campbell](http://www.last.fm/music/Mike+Campbell) and [Benmont Tench](http://www.last.fm/music/Benmont+Tench)) he began his recording career with [Tom Petty and The Heartbreakers](http://www.last.fm/music/Tom+Petty+and+The+Heartbreakers) when the band broke onto the national music scene with their 1976 self-titled debut album. Still, it took America a full year to catch up to the album. “Breakdown” was re-released to radio and became a Top 40 hit in 1977 after word filtered back the band was creating a firestorm in England.   He was also a member of [The Traveling Wilburys](http://www.last.fm/music/+noredirect/The+Traveling+Wilburys), along with [George Harrison](http://www.last.fm/music/George+Harrison), [Jeff Lynne](http://www.last.fm/music/Jeff+Lynne), [Bob Dylan](http://www.last.fm/music/Bob+Dylan) and [Roy Orbison](http://www.last.fm/music/Roy+Orbison). Petty and the Heartbreakers also toured as a backing band for [Bob Dylan](http://www.last.fm/music/Bob+Dylan).      Petty is a vocal critic of the modern recording industry, including the disintegration of independent radio stations.      Petty has been supported by his band, The Heartbreakers, for the majority of his career. He has occasionally released solo work, as is the case with his 2006 effort, Highway Companion, on which he performed most of the backing instrumentation himself. Examples of other solo albums include Full Moon Fever and Wildflowers      His latest release is a reunion of Mudcrutch.  ",975964,,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",tom petty,72,"[""Free Fallin'"", 'American Girl', ""I Won't Back Down"", ""Runnin' Down A Dream"", ""Mary Jane's Last Dance"", 'Wildflowers', ""You Don't Know How It Feels"", 'Breakdown', 'Learning To Fly', 'Refugee']"
"Roderick David **”Rod” Stewart**, CBE (born 10 January 1945) is a British singer-songwriter born and raised in London, England and currently residing in Epping. He is of Scottish and English lineage.      With his distinctive raspy singing voice, [Rod Stewart](http://www.rodstewart.com) came to prominence in the late 1960s and early 1970s with [The Jeff Beck Group](http://www.last.fm/music/+noredirect/The+Jeff+Beck+Group) (1967-1969) and then [Faces](http://www.last.fm/music/Faces). He launched his solo career in 1969 with his début album An Old Raincoat Won’t Ever Let You Down (US: The Rod Stewart Album). His work with The Jeff Beck Group and Faces proved to be influential on the formation of the heavy metal and punk rock genres, respectively. Both bands were also pioneers of blues-rock.      With his career in its fifth decade, Stewart has achieved numerous solo hit singles worldwide, most notably in the UK, where he has garnered six consecutive number one albums and his tally of 62 hit singles include 31 that reached the top 10, six of which gained the number one position. He has had 16 top ten singles in the USA, with four of these reaching number one. He has sold over 130 million records worldwide, and is one of the best selling British singers of all time. He was voted at #33 in Q Magazine’s list of the top 100 Greatest Singers of all time.  ",1559840,rock,"['adult standards', 'mellow gold', 'rock', 'soft rock']",rod stewart,75,"['Maggie May', 'Everyday', 'Young Turks - 2008 Remaster', ""Da Ya Think I'm Sexy?"", 'The First Cut Is the Deepest', 'Handbags & Gladrags', ""This Wheel's On Fire"", ""I Can't Deny It"", ""GI' Me Wings"", 'Last Summer']"
"Orphanage was a Dutch [innovative gregorian groovy celtic melodic danceable doom death metal](http://www.last.fm/tag/innovative%20gregorian%20groovy%20cel tic%20melodic%20danceable%20doom%20death%20metal) band, which existed from 1987 till 2005. They were one of the first Dutch metal bands who mixed death metal grunts with clean female vocals. By mixing very different musical styles they have created their own unique sound.      In 1996, an era in which several new metal-styles and cross-overs arose in the landscape of metal, they described their style as “Innovative gregorian groovy celtic melodic danceable doom death metal” (great lastfm tag!!)      Line-up :   George Oosthoek : Grunts and screams   Rosan Van Der Aa : Vocals   Sureel : Drums and clay pot   Remko Van Der Spek : Bass guitar and guitars   Lasse Dellbrügge : Synths and sound design   Guus Eikens : Guitars, keyboards and vocals      Former members:   Martine van Loon: Vocals   Lex Vogelaar: Guitars and vocals   Eric Hoogendoorn: Bass   Jules Vleugels: Drums   Erwin Polderman: Drums      Mid October 2005, after 11 years, the band split up. The official announcement stated: “From recent internal discussions it appeared that there was too much irritation and a lack of mutual trust, to be able to make a new Orphanage product, by the high quality standards that the band has been known for throughout the years.”.      Singer George Oosthoek is still frequently seen in the Dutch metal scene, performing as guest vocalist for other metal-bands (like [Delain](http://www.last.fm/music/Delain), [After Forever](http://www.last.fm/music/After+Forever) and [Within Temptation](http://www.last.fm/music/Within+Temptation)) or in his own bands like [Pleurisy](http://www.last.fm/music/Pleurisy).  ",586919,,"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'metal', 'rock']",orphanage,66,"['Whiskey In The Jar', 'Orphanage', 'Homer Leaves Orphanage - Instrumental', 'Escaping the Orphanage', 'Hold Mine', 'Homer Returns to the Orphanage - Instrumental', 'Obsolete', 'Burning Orphanage', 'Whiskey In The Jar - BBC Radio 1 John Peel Session', 'The Orphanage']"
"Carl Terrell Mitchell (born November 27, 1973 in Chicago, Illinois), better known by his stage name Twista and formerly Tung Twista, is an American rapper who once held the title of fastest emcee in the world, being able to pronounce 11.2 syllables per second. In 1992 he released his debut album, Runnin’ Off At Da Mouth, and has since released a further seven albums including 1994’s Resurrection, 1997’s Adrenaline Rush, 2004’s highly successful Kamikaze, 2005’s The Day After and 2007’s Adrenaline Rush 2007. His latest studio album, Category F5, was released in July of 2009.      Twista grew up in the K-Town area on the west side of Chicago. He started rapping at the age of 12. However, before starting his professional career, he worked at several other jobs including working at a factory, selling shoes, working at McDonald’s, working as a security guard, and even cutting hair.      Twista was one of the first artists to sign with Loud Records. In 1991, he released Runnin’ off at da Mouth under the name of Tung Twista. Due to his rapid-fire pace of delivery, he was listed in the Guinness Book of Records as the world’s fastest rapper. Despite this recognition, the album achieved little success. Tung Twista dropped the “Tung” off of his name in his second album Resurrection, which was never released outside of Chicago’s underground.      In 1996, he teamed with fellow Chicago act “Do or Die” on the track “Po’ Pimp” leading to a contract with Atlantic Records. He released Adrenaline Rush in 1997 followed by Mobstability in 1998. Twista then formed his own Legit Ballin’ label which has released two compilation albums Legit Ballin’ in 1999 and Legit Ballin’ Vol. 2: Street Scriptures in 2001. The label later released Respect The Game,Vol. 3 in 2002 and Volume 4: Tha Truth in 2006.      Twista developed a good reputation in rap circles leading to work with Mariah Carey, P. Diddy (then Puff Daddy),Lil kim, Drag-on, Jay-Z, Timbaland, Ras Kass, Ludacris, Royce Da 5’9”, Shaquille O’Neal, and Da Brat. However, it would take him until 2004 to achieve a platinum, number-one record under his own name.      On his website, Twista stated that he made Kamikaze to show that he was still true to the ideals that he had when he started out. “I represent for the MCs that have skills, not just make music for the hell of it. I take the time to concentrate. Otherwise, I could have 10 albums out there, easy. I could sit down all day and write something. But I write when I get in a zone more than writing because I’ve got to do this. I represent the artists that keep it true to what really is, to be able to make rappers want to write.”      “I want to show the streets that I’m back and that I’m true to the game. Musically, I want to show that I’m still out here doing my thing. After all the people that were out when I was out years ago fell off, I’m still out here competing with the shorties. I also want to gain platinum success. It’s something that I haven’t done",4339378,world,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",twista,87,"['Cocoa Butter Kisses', ""Let's Go (feat. Big D & Twista)"", 'Overnight Celebrity', 'Slow Jamz', 'Overnight Celebrity', 'Slow Jamz (feat. Kanye West & Jamie Foxx)', 'Wetter (Calling You Daddy)', 'Adrenaline Rush', 'Make A Movie', 'Wetter']"
"Original Dixieland Jass Band (after mid-1917 spelling changed to Jazz) A Chicago that played the popular Dixieland Jazz style. A band which, in 1917, was the first ever to make a jazz recording. It was also the first jazz band to achieve widespread prominence. The Original Dixieland Jass Band are often known by their initials, the O.D.J.B.      The band consisted of 5 white musicians who had previously been playing in the Papa Jack Laine bands, a diverse and racially integrated collection of musicians who played for parades, dances, and advertising in New Orleans.      The O.D.J.B. were billed as the “Creators of Jazz”. Trumpeter Nick LaRocca convinced himself, in his old age, that this was literally true, but there is no evidence from the interviews and writings of the other O.D.J.B. members that the rest of the band ever considered it anything more than a snappy advertising slogan.      In early 1916 a promoter from Chicago, Illinois approached clarinetist Alcide Nunez and drummer Johnny Stein about bringing a New Orleans style band to Chicago, where a similar band led by trombonist Tom Brown was already enjoying success. They then assembled trombonist Eddie Edwards, pianist Henry Ragas and cornetist Frank Christian. Shortly before they were to leave, Christian backed out, and Nick LaRocca was hired as a last minute replacement.      On March 3, 1916 the musicians began their job at Schiller’s Cafe in Chicago under the name Stein’s Dixie Jass Band. The band was a hit and received offers of higher pay elsewhere. Since Stein as leader was the only musician under contract by name, the rest of the band broke off, sent to New Orleans for drummer Tony Sbarbaro, and on June 5 started playing renamed as The Dixie Jass Band. LaRocca and Nunez had personality conflicts, and on October 30 Tom Brown’s Band and the ODJB mutually agreed to switch clarinetists, bringing Larry Shields into the Original Dixieland Jass Band. The band attracted the attention of Max Hart, who booked the band in New York City. At the start of 1917 the band began an engagement playing for dancing at Reisenweber’s Cafe in Manhattan.      While a couple of other New Orleans bands had passed through New York City slightly earlier, they were part of Vaudeville acts. The O.D.J.B., on the other hand, played for dancing and were hence the first “jass” band to get a following of fans in New York, and then record at a time when the USA’s recording industry was almost entirely centered in New York and New Jersey.      Shortly after arriving in New York they were offered a chance per a letter dated January 29, 1917 to audition for the Columbia Graphaphone Company which took place on Wednesday, January 31, 1917. Nothing came of this audition.      They then recorded two sides (“Livery Stable Blues” and “Dixie Jass Band One Step”) on February 26, 1917 for the Victor Talking Machine Company. The record with these titles came out the following month",9603,jazz,"['big band', 'dixieland', 'new orleans jazz', 'ragtime', 'swing']",original dixieland jazz band,27,"['Livery Stable Blues', 'Tiger Rag', 'Tiger Rag', 'Dixie Jass Band One-Step', 'St. Louis Blues', 'Clarinet Marmalade', 'Bow Wow Blues (My Mama Treats Me Like A Dog)', 'Livery Stable Blues', 'Skeleton Jangle', ""Bluin' the Blues""]"
"**Boards of Canada** are an [electronic](http://www.last.fm/tag/electronic) music duo from Edinburgh, Scotland, UK, formed in 1986 and comprised of brothers Mike Sandison (born 1 June 1970) and [Marcus Eoin](http://www.last.fm/music/Marcus+Eoin) (born 21 July 1971). They have released a number of works, most notably the studio albums _[Music Has the Right to Children](http://www.last.fm/music/Boards+of+Canada/Music+Has+the+Right+to+Children)_ (1998), _[Geogaddi](http://www.last.fm/music/Boards+of+Canada/Geogaddi)_ (2002), and _[The Campfire Headphase](http://www.last.fm/music/Boards+of+Canada/The+Campfire+Headphase)_ (2005) on the pioneering electronic music label [Warp](http://www.last.fm/label/Warp). Their fourth album _[Tomorrow’s Harvest](http://www.last.fm/music/Boards+of+Canada/Tomorrow%27s+Harvest)_ was released in June 2013.      Boards of Canada have had an enormous influence on the [ambient](http://www.last.fm/tag/ambient), [downtempo](http://www.last.fm/tag/downtempo) and [idm](http://www.last.fm/tag/idm) scenes. They have frequently made reference to the warm, scratchy, artificial sounds of 1970s television. Indeed, the Sandison brothers admit to being inspired by the documentary films of the National Film Board of Canada, from which they take their name. The duo have recorded a few minor works under the name Hell Interface. Boards of Canada’s music has been used in several CSI episodes and on Cartoon Network’s Adult Swim interlude shorts; small bits of their music have been used on the BBC program Top Gear for transitional music.      **Early Boards of Canada (1970s-1995)**      Growing up in a musical family, brothers Mike Sandison and Marcus Eoin began playing instruments at a young age. They experimented with recording techniques at around the age of 10, using tape machines to layer cut-up samples of found sounds over compositions of their own. In their teens they participated in a number of amateur bands, however, it wasn’t until 1986 when Marcus was invited to Mike’s band that Boards of Canada was born.      By 1989, the band had been reduced to Sandison, Eoin and Christopher Horne. In the early 1990s, a number of collaborations took place and the band put on small, fairly regular shows among the “Hexagon Sun” collective.      In early 2000, the official website for the band, Music70.com (now boardsofcanada.com) removed the early discography of Boards of Canada, although some information has been preserved by fans. Early tape releases by Boards of Canada include “Play by Numbers”, “Acid Memories”, “Hooper Bay”, and the earliest known release by the band is titled “Catalog 3”. None of the material from those days is readily available, and since official Boards of Canada sources ignore the existence of this material, there seems to be little chance for this early material to ever resurface",320098,electronic,"['ambient', 'electronic', 'fourth world', 'intelligent dance music', 'microhouse', 'post-rock', 'scottish electronic', 'trip hop']",boards of canada,59,"['Roygbiv', 'Peacock Tail', 'Everything You Do Is A Balloon', 'Dayvan Cowboy', 'Chromakey Dreamcoat', 'Olson', 'Wildlife Analysis', 'Over The Horizon Radar', 'Aquarius', 'Reach For The Dead']"
"Wyclef Jean (born October 17, 1972 in Croix-des-Bouquets, Haïti) is an American rapper, producer, and member of the superstar hip hop trio [The Fugees](http://www.last.fm/music/+noredirect/The+Fugees), known now for a series of high-profile hit singles.      Jean moved to Brooklyn, New York when he was nine, then to Northern New Jersey, where he began playing the guitar and studying jazz in his high school. In 1987, Jean, his friend (so close they told people they were cousins growing up) Prakazrel Michel ([Pras](http://www.last.fm/music/Pras)) and his classmate, [Lauryn Hill](http://www.last.fm/music/Lauryn+Hill), formed a group called the [Tranzlator Crew](http://www.last.fm/music/Tranzlator+Crew) before becoming [The Fugees](http://www.last.fm/music/+noredirect/The+Fugees). Wyclef worked as a cabdriver.      Recently he has been finding success as a collaborator - with his turn on Shakira’s 2006 track ‘Hips Don’t Lie’ hitting number one in many countries around the world.      In August of 2010, Jean announced his intent to seek the presidency of Haiti. This move came after his increasingly-high profile humanitarian work in the wake of the earthquake that devastated that nation.  ",4368958,jazz,"['atl hip hop', 'atl trap', 'gangster rap', 'pop', 'pop rap', 'rap', 'trap music']",wyclef jean,93,"['Wyclef Jean', ""Hips Don't Lie"", 'Dear Future Self (Hands Up) [feat. Wyclef Jean]', 'Sweetest Girl (Dollar Bill)', 'Kiss The Sky (feat. Wyclef Jean)', 'No, No, No Pt. 2 (feat. Wyclef Jean)', 'Kanye West', '911', 'Sweetest Girl (Dollar Bill)', 'You Know What It Is (feat. Wyclef Jean)']"
